Function        Time-(s)        Percentage-of-total-(%)
Determining-consistent-distance-restraint-space 7       1
Flattening-arrays-(method-'flatten'-of-'numpy.ndarray'-objects) 8       1
Filling-arrays-(method-'fill'-of-'numpy.ndarray'-objects)       9       1
Counting-violations     11      2
Reduce-(method-'reduce'-of-'numpy.ufunc'-objects)       12      2
Complex-conjugate-(method-'conj'-of-'numpy.ndarray'-objects)    19      3
Rotating-the-scanning-chain     24      3
Copying-of-arrays-(method-'copy'-of-'numpy.ndarray'-objects)    36      5
Binning the-number-of-accessible-complexes-     37      5
Main-loop-(multiplications,-summations,-etc.)   104     15
FFT-calculations        445     62
Total-time      717     100

