PDB  |   Number of acceptable solutions in top 400
     |   10\Angstrom     | 15\Angstrom     | 20\Angstrom
        |It0     |It1     |Itw     |It0     |It1     |Itw     |It0     |It1     |Itw
1ACB    |13      |19      |19      |7       |8       |7       |4       |4       |4
1AHW    |26      |42      |42      |13      |17      |17      |5       |8       |8
1AK4    |78      |81      |81      |37      |40      |40      |3       |8       |8
1AVX    |38      |51      |53      |13      |17      |18      |5       |6       |6
1AY7    |23      |28      |28      |10      |16      |16      |9       |9       |9
1B6C    |40      |47      |47      |21      |28      |28      |7       |12      |12
1BGX    |0       |0       |0       |0       |0       |0       |0       |0       |0
1BKD    |0       |5       |5       |0       |1       |1       |0       |0       |0
1JMO    |0       |0       |0       |0       |0       |0       |0       |0       |0
1M10    |0       |2       |2       |0       |1       |1       |0       |1       |1
1R6Q    |54      |57      |57      |12      |30      |30      |3       |4       |4
1JK9    |118     |223     |224     |64      |84      |95      |21      |23      |23
2FD6    |140     |147     |148     |82      |97      |97      |37      |42      |42
2OOB    |15      |15      |15      |3       |3       |4       |0       |0       |0
2OUL    |49      |62      |64      |28      |32      |32      |9       |10      |10
4CPA    |90      |105     |108     |85      |88      |91      |65      |70      |72
7CEI    |75      |90      |92      |27      |48      |49      |13      |19      |20
